win_seed,lose_seed,win_pts,lose_pts,win_school_ncaa,pt_differ,season,round
8,2,75,72,Kentucky,3,2014,8
1,16,81,66,Kentucky,15,2012,64
2,7,90,81,Kentucky,9,1988,32
8,4,74,69,Kentucky,5,2014,16
5,12,85,80,Kentucky,5,2000,64
1,16,75,55,Kentucky,20,1986,64
1,4,102,90,Kentucky,12,2012,16
1,8,87,71,Kentucky,16,2012,32
1,5,63,57,Kentucky,6,2003,16
1,16,96,52,Kentucky,44,1993,64
1,16,95,64,Kentucky,31,2003,64
1,2,67,59,Kentucky,8,2012,2
1,5,78,39,Kentucky,39,2015,16
1,5,68,63,Kentucky,5,1986,16
1,3,106,81,Kentucky,25,1993,8
1,3,82,70,Kentucky,12,2012,8
8,1,78,76,Kentucky,2,2014,32
1,8,64,51,Kentucky,13,2015,32
1,5,103,69,Kentucky,34,1993,16
8,2,74,73,Kentucky,1,2014,4
1,3,68,66,Kentucky,2,2015,8
8,9,56,49,Kentucky,7,2014,64
1,4,69,61,Kentucky,8,2012,4
1,8,71,64,Kentucky,7,1986,32
8,9,67,58,Kentucky,9,2007,64
1,16,92,54,Kentucky,38,1997,64
1,16,96,76,Kentucky,20,2004,64
8,9,69,64,Kentucky,5,2006,64
1,2,72,59,Kentucky,13,1997,8
1,1,78,69,Kentucky,9,1997,4
2,10,88,61,Kentucky,27,1998,32
2,3,78,69,Kentucky,9,1998,2
1,5,97,73,Kentucky,24,1995,16
2,3,86,85,Kentucky,1,1998,4
1,4,83,68,Kentucky,15,1997,16
2,15,79,70,Kentucky,9,2017,64
1,9,82,60,Kentucky,22,1995,32
2,10,65,62,Kentucky,3,2017,32
2,3,86,75,Kentucky,11,2017,16
2,6,94,68,Kentucky,26,1998,16
2,1,86,84,Kentucky,2,1998,8
2,15,82,67,Kentucky,15,1998,64
1,16,113,67,Kentucky,46,1995,64
1,8,75,69,Kentucky,6,1997,32
4,13,101,91,Villanova,10,1997,64
2,15,73,53,Villanova,20,2014,64
3,6,89,69,Villanova,20,2009,32
9,8,50,48,Villanova,2,1991,64
1,16,93,52,Villanova,41,2015,64
1,16,76,56,Villanova,20,2017,64
3,14,80,67,Villanova,13,2009,64
3,2,77,54,Villanova,23,2009,16
3,1,78,76,Villanova,2,2009,8
2,15,73,70,Villanova,3,2010,64
12,5,75,69,Villanova,6,2008,64
12,13,84,72,Villanova,12,2008,32
3,14,92,58,Villanova,34,1996,64
2,3,92,69,Villanova,23,2016,16
2,2,95,51,Villanova,44,2016,4
6,11,82,74,Villanova,8,1988,64
1,8,82,78,Villanova,4,2006,32
1,16,58,45,Villanova,13,2006,64
6,2,80,74,Villanova,6,1988,16
2,7,87,68,Villanova,19,2016,32
1,4,60,59,Villanova,1,2006,16
6,3,66,63,Villanova,3,1988,32
10,7,71,62,Villanova,9,1986,64
2,1,64,59,Villanova,5,2016,8
2,15,86,56,Villanova,30,2016,64
2,1,77,74,Villanova,3,2016,2
8,2,56,44,Villanova,12,1985,8
8,5,46,43,Villanova,3,1985,16
5,12,55,47,Villanova,8,2005,64
5,4,76,65,Villanova,11,2005,32
8,1,66,64,Villanova,2,1985,2
8,9,51,49,Villanova,2,1985,64
8,1,59,55,Villanova,4,1985,32
8,2,52,45,Villanova,7,1985,4
14,3,79,72,Weber St.,7,1995,64
14,3,76,74,Weber St.,2,1999,64
8,9,70,64,Kansas St.,6,2012,64
4,13,66,53,Kansas St.,13,1988,64
4,1,73,70,Kansas St.,3,1988,16
4,5,66,58,Kansas St.,8,1988,32
11,6,80,67,Kansas St.,13,2008,64
5,12,73,68,Kansas St.,5,2011,64
9,8,82,79,Kansas St.,3,1987,64
2,15,82,62,Kansas St.,20,2010,64
11,11,95,88,Kansas St.,7,2017,68
2,7,84,72,Kansas St.,12,2010,32
2,6,101,96,Kansas St.,5,2010,16
8,9,68,66,Northwestern,2,2017,64
8,1,71,68,NC State,3,2015,32
10,7,58,52,NC State,6,2006,64
6,11,114,85,NC State,29,1991,64
5,12,81,66,NC State,15,1989,64
7,10,69,58,NC State,11,2002,64
8,9,66,65,NC State,1,2015,64
5,4,102,96,NC State,6,1989,32
6,11,66,64,NC State,2,1986,64
6,14,80,66,NC State,14,1986,32
11,6,79,65,NC State,14,2012,64
11,3,66,63,NC State,3,2012,32
3,14,61,52,NC State,9,2004,64
3,14,65,56,NC State,9,1985,64
3,7,61,55,NC State,6,1985,16
6,7,70,66,NC State,4,1986,16
3,11,86,73,NC State,13,1985,32
12,12,74,59,NC State,15,2014,68
10,7,75,63,NC State,12,2005,64
10,2,65,62,NC State,3,2005,32
9,8,64,61,Saint Louis,3,1995,64
5,12,83,80,Saint Louis,3,2014,64
4,13,64,44,Saint Louis,20,2013,64
10,7,51,46,Saint Louis,5,1998,64
9,8,61,54,Saint Louis,7,2012,64
9,8,80,62,Colorado,18,1997,64
11,6,68,64,Colorado,4,2012,64
9,8,68,64,Ball St.,4,1989,64
12,5,54,53,Ball St.,1,1990,64
12,4,62,60,Ball St.,2,1990,32
4,13,68,62,Louisville,6,2005,64
3,2,79,60,Louisville,19,2008,16
3,6,78,48,Louisville,30,2008,32
4,5,76,54,Louisville,22,2005,32
4,1,93,79,Louisville,14,2005,16
4,8,75,65,Louisville,10,2015,16
4,13,86,64,Louisville,22,2003,64
4,7,93,85,Louisville,8,2005,8
6,3,64,63,Louisville,1,1997,32
4,13,57,55,Louisville,2,2015,64
3,14,79,61,Louisville,18,2008,64
4,5,66,53,Louisville,13,2015,32
6,11,65,57,Louisville,8,1997,64
6,10,78,63,Louisville,15,1997,16
4,13,76,70,Louisville,6,1993,64
4,5,78,63,Louisville,15,1993,32
8,9,81,58,Louisville,23,1992,64
6,3,68,64,Louisville,4,1996,32
6,11,78,58,Louisville,20,2007,64
6,11,82,80,Louisville,2,1996,64
1,2,85,63,Louisville,22,2013,8
2,15,78,63,Louisville,15,2017,64
5,4,97,76,Louisville,21,1988,32
4,13,71,64,Louisville,7,2014,64
1,4,82,76,Louisville,6,2013,2
4,5,93,84,Louisville,9,1989,32
4,5,66,51,Louisville,15,2014,32
1,8,82,56,Louisville,26,2013,32
1,9,72,68,Louisville,4,2013,4
5,12,70,61,Louisville,9,1988,64
1,9,79,72,Louisville,7,2009,32
1,16,74,54,Louisville,20,2009,64
1,12,77,69,Louisville,8,2013,16
4,13,76,71,Louisville,5,1989,64
1,12,103,64,Louisville,39,2009,16
1,16,79,48,Louisville,31,2013,64
2,8,84,76,Louisville,8,1986,8
4,7,72,68,Louisville,4,2012,8
4,5,59,56,Louisville,3,2012,32
2,11,88,77,Louisville,11,1986,4
2,3,94,79,Louisville,15,1986,16
2,7,82,68,Louisville,14,1986,32
4,13,69,62,Louisville,7,2012,64
3,6,60,55,Louisville,5,1994,32
3,14,67,58,Louisville,9,1994,64
4,1,57,44,Louisville,13,2012,16
2,15,93,73,Louisville,20,1986,64
2,1,72,69,Louisville,3,1986,2
4,13,78,59,Louisville,19,1990,64
2,15,79,67,Virginia,12,2015,64
1,16,70,59,Virginia,11,2014,64
6,3,71,56,Virginia,15,1993,32
6,11,78,66,Virginia,12,1993,64
1,8,78,60,Virginia,18,2014,32
5,12,76,71,Virginia,5,2017,64
1,4,84,71,Virginia,13,2016,16
1,9,77,69,Virginia,8,2016,32
1,16,81,45,Virginia,36,2016,64
4,13,84,57,Virginia,27,2007,64
4,1,67,58,Virginia,9,1995,16
7,10,75,67,Virginia,8,1990,64
4,13,96,72,Virginia,24,1995,64
4,12,60,54,Virginia,6,1995,32
5,1,86,80,Virginia,6,1989,16
7,10,57,54,Virginia,3,1994,64
5,13,104,88,Virginia,16,1989,32
5,12,100,97,Virginia,3,1989,64
11,6,79,73,Central Mich.,6,2003,64
16,16,81,77,Robert Morris,4,2015,68
10,7,51,46,George Washington,5,1994,64
8,9,88,85,George Washington,3,2006,64
12,5,82,68,George Washington,14,1993,64
12,13,90,80,George Washington,10,1993,32
16,16,59,55,Holy Cross,4,2016,68
13,12,83,77,Valparaiso,6,1998,32
13,4,70,69,Valparaiso,1,1998,64
4,13,79,63,La Salle,16,1990,64
13,13,80,71,La Salle,9,2013,68
13,4,63,61,La Salle,2,2013,64
13,12,76,74,La Salle,2,2013,32
7,10,93,73,South Carolina,20,2017,64
7,3,70,50,South Carolina,20,2017,16
7,2,88,81,South Carolina,7,2017,32
7,4,77,70,South Carolina,7,2017,8
14,3,68,67,Austin Peay,1,1987,64
12,5,87,79,Montana,8,2006,64
10,7,71,58,Texas,13,1997,64
7,10,76,62,Texas,14,2009,64
4,13,79,67,Texas,12,2007,64
2,15,60,52,Texas,8,2006,64
2,6,74,71,Texas,3,2006,16
3,14,66,49,Texas,17,2004,64
2,10,75,54,Texas,21,2006,32
10,15,82,81,Texas,1,1997,32
3,6,78,75,Texas,3,2004,32
10,7,80,76,Texas,4,1996,64
1,7,85,76,Texas,9,2003,8
6,11,70,57,Texas,13,2002,64
10,6,102,89,Texas,13,1990,16
10,7,100,88,Texas,12,1990,64
10,2,73,72,Texas,1,1990,32
1,16,82,61,Texas,21,2003,64
1,5,82,78,Texas,4,2003,16
1,9,77,67,Texas,10,2003,32
6,3,68,64,Texas,4,2002,32
11,6,90,73,Texas,17,1995,64
4,13,85,81,Texas,4,2011,64
2,15,74,54,Texas,20,2008,64
7,10,87,85,Texas,2,2014,64
2,3,82,62,Texas,20,2008,16
6,11,91,77,Texas,14,1994,64
11,6,76,70,Texas,6,1989,64
2,7,75,72,Texas,3,2008,32
5,12,73,65,Texas,8,1991,64
5,12,77,61,Texas,16,2000,64
1,2,86,62,Massachusetts,24,1996,8
3,14,54,50,Massachusetts,4,1993,64
2,15,68,51,Massachusetts,17,1995,64
2,6,76,51,Massachusetts,25,1995,16
1,16,92,70,Massachusetts,22,1996,64
1,9,79,74,Massachusetts,5,1996,32
3,14,85,58,Massachusetts,27,1992,64
2,10,75,53,Massachusetts,22,1995,32
3,6,77,71,Massachusetts,6,1992,32
1,12,79,63,Massachusetts,16,1996,16
2,15,78,60,Massachusetts,18,1994,64
5,12,85,67,St. John's (NY),18,1993,64
6,11,81,65,St. John's (NY),16,1990,64
1,9,68,65,St. John's (NY),3,1985,32
1,3,69,60,St. John's (NY),9,1985,8
1,16,83,59,St. John's (NY),24,1985,64
1,12,86,70,St. John's (NY),16,1985,16
3,2,76,62,St. John's (NY),14,1999,16
3,14,69,43,St. John's (NY),26,1999,64
3,6,86,61,St. John's (NY),25,1999,32
6,11,57,55,St. John's (NY),2,1987,64
4,1,91,74,St. John's (NY),17,1991,16
4,13,75,68,St. John's (NY),7,1991,64
4,5,84,76,St. John's (NY),8,1991,32
1,16,83,74,St. John's (NY),9,1986,64
2,15,61,56,St. John's (NY),5,2000,64
3,14,66,63,Florida St.,3,2012,64
3,14,78,68,Florida St.,10,1992,64
3,6,78,68,Florida St.,10,1992,32
3,14,86,80,Florida St.,6,2017,64
7,10,75,72,Florida St.,3,1991,64
3,11,94,63,Florida St.,31,1993,32
3,14,82,70,Florida St.,12,1993,64
3,7,81,78,Florida St.,3,1993,16
12,5,96,87,Florida St.,9,1998,64
10,2,71,57,Florida St.,14,2011,32
10,7,57,50,Florida St.,7,2011,64
13,4,70,68,Indiana St.,2,2001,64
1,8,93,83,North Carolina,10,1998,32
1,5,63,57,North Carolina,6,1997,16
1,16,113,82,North Carolina,31,1987,64
2,11,81,63,North Carolina,18,2011,16
1,5,74,68,North Carolina,6,1987,16
1,4,80,74,North Carolina,6,1993,16
1,12,93,67,North Carolina,26,1991,16
1,9,73,56,North Carolina,17,1997,32
1,16,71,51,North Carolina,20,1994,64
1,16,86,65,North Carolina,21,2007,64
1,16,88,52,North Carolina,36,1998,64
1,16,101,66,North Carolina,35,1991,64
1,9,109,97,North Carolina,12,1987,32
1,9,81,67,North Carolina,14,2007,32
1,8,112,67,North Carolina,45,1993,32
1,6,97,74,North Carolina,23,1997,8
1,10,83,66,North Carolina,17,2016,4
1,9,85,66,North Carolina,19,2016,32
1,16,83,67,North Carolina,16,2016,64
1,2,78,68,North Carolina,10,1993,4
2,15,102,87,North Carolina,15,2011,64
1,9,84,69,North Carolina,15,1991,32
6,11,79,77,North Carolina,2,2014,64
2,7,86,83,North Carolina,3,2011,32
1,16,82,74,North Carolina,8,1997,64
1,5,74,64,North Carolina,10,2007,16
1,2,75,64,North Carolina,11,1998,8
1,16,113,74,North Carolina,39,2008,64
6,11,83,62,North Carolina,21,1996,64
1,16,85,65,North Carolina,20,1993,64
1,9,108,77,North Carolina,31,2008,32
1,6,88,74,North Carolina,14,2016,8
1,3,83,73,North Carolina,10,2008,8
1,1,77,71,North Carolina,6,1993,2
1,10,75,72,North Carolina,3,1991,8
1,5,101,86,North Carolina,15,2016,16
1,2,75,68,North Carolina,7,1993,8
1,4,68,47,North Carolina,21,2008,16
1,4,73,58,North Carolina,15,1998,16
6,11,63,52,North Carolina,11,2004,64
1,2,72,60,North Carolina,12,2009,8
1,2,89,72,North Carolina,17,2009,2
8,1,60,53,North Carolina,7,2000,32
8,4,74,69,North Carolina,5,2000,16
8,9,83,70,North Carolina,13,1990,64
8,9,84,70,North Carolina,14,2000,64
1,8,84,70,North Carolina,14,2009,32
1,4,98,77,North Carolina,21,2009,16
1,3,83,69,North Carolina,14,2009,4
1,16,101,58,North Carolina,43,2009,64
8,9,78,71,North Carolina,7,2013,64
1,13,73,65,North Carolina,8,2012,16
8,1,79,77,North Carolina,2,1990,32
8,7,59,55,North Carolina,4,2000,8
1,16,77,58,North Carolina,19,2012,64
1,8,87,73,North Carolina,14,2012,32
2,6,74,64,North Carolina,10,1995,16
1,1,71,65,North Carolina,6,2017,2
4,13,67,65,North Carolina,2,2015,64
2,15,80,70,North Carolina,10,1995,64
1,4,92,80,North Carolina,12,2017,16
1,5,67,66,North Carolina,1,2005,16
4,5,87,78,North Carolina,9,2015,32
2,15,70,48,North Carolina,22,2001,64
2,7,73,51,North Carolina,22,1995,32
2,15,93,79,North Carolina,14,1989,64
3,6,77,59,North Carolina,18,1986,32
3,14,84,72,North Carolina,12,1986,64
2,11,62,56,North Carolina,6,1985,16
1,16,96,68,North Carolina,28,2005,64
1,5,87,71,North Carolina,16,2005,4
1,3,77,76,North Carolina,1,2017,4
1,9,92,65,North Carolina,27,2005,32
1,16,103,64,North Carolina,39,2017,64
2,7,60,58,North Carolina,2,1985,32
1,6,88,82,North Carolina,6,2005,8
1,8,72,65,North Carolina,7,2017,32
2,3,78,69,North Carolina,9,1988,16
1,2,75,73,North Carolina,2,2017,8
2,15,83,65,North Carolina,18,1988,64
3,14,69,65,North Carolina,4,2006,64
4,13,68,63,North Carolina,5,1992,64
1,1,75,70,North Carolina,5,2005,2
2,7,88,81,North Carolina,7,1989,32
4,5,64,55,North Carolina,9,1992,32
2,10,123,97,North Carolina,26,1988,32
2,1,74,61,North Carolina,13,1995,8
2,15,76,57,North Carolina,19,1985,64
1,2,90,82,Maryland,8,2002,8
1,4,78,68,Maryland,10,2002,16
1,5,64,52,Maryland,12,2002,2
1,8,87,57,Maryland,30,2002,32
1,16,85,70,Maryland,15,2002,64
1,1,97,88,Maryland,9,2002,4
3,14,83,80,Maryland,3,2001,64
3,14,87,63,Maryland,24,1995,64
3,11,79,60,Maryland,19,2001,32
4,5,67,61,Maryland,6,1998,32
4,13,86,83,Maryland,3,2004,64
6,3,77,64,Maryland,13,2003,32
3,1,87,73,Maryland,14,2001,8
3,11,82,68,Maryland,14,1995,32
4,13,82,68,Maryland,14,1998,64
6,11,75,73,Maryland,2,2003,64
3,10,76,66,Maryland,10,2001,16
4,13,82,70,Maryland,12,2007,64
2,15,82,60,Maryland,22,1999,64
4,13,65,62,Maryland,3,2015,64
5,12,79,74,Maryland,5,2016,64
10,7,74,66,Maryland,8,1994,64
7,10,92,82,Maryland,10,1988,64
2,10,75,63,Maryland,12,1999,32
3,14,74,59,Maryland,15,2000,64
5,13,73,60,Maryland,13,2016,32
10,2,95,87,Maryland,8,1994,32
4,13,89,77,Maryland,12,2010,64
5,12,69,68,Maryland,1,1985,64
10,7,84,71,Maryland,13,2009,64
5,13,64,59,Maryland,5,1985,32
5,12,69,64,Maryland,5,1986,64
7,10,77,71,Nevada,6,2007,64
9,8,61,57,Nevada,4,2005,64
10,7,72,66,Nevada,6,2004,64
10,2,91,72,Nevada,19,2004,32
14,3,87,80,ETSU,7,1992,64
16,16,71,59,Vermont,12,2012,68
13,4,60,57,Vermont,3,2005,64
5,12,79,70,Vanderbilt,9,2012,64
6,3,78,74,Vanderbilt,4,2007,32
6,11,77,44,Vanderbilt,33,2007,64
7,2,80,74,Vanderbilt,6,1988,32
7,10,80,77,Vanderbilt,3,1988,64
6,3,75,73,Vanderbilt,2,2004,32
6,11,71,58,Vanderbilt,13,2004,64
3,6,85,68,Vanderbilt,17,1993,32
3,14,92,72,Vanderbilt,20,1993,64
11,6,55,53,Tulane,2,1993,64
9,8,76,70,Tulane,6,1995,64
10,7,61,57,Tulane,4,1992,64
2,15,75,54,Miami (FL),21,1999,64
2,7,63,59,Miami (FL),4,2013,32
2,15,78,49,Miami (FL),29,2013,64
6,3,75,62,Miami (FL),13,2000,32
6,11,75,71,Miami (FL),4,2000,64
3,14,79,72,Miami (FL),7,2016,64
3,11,65,57,Miami (FL),8,2016,32
7,10,78,64,Miami (FL),14,2008,64
7,2,97,85,Navy,12,1986,32
7,14,71,70,Navy,1,1986,16
7,10,87,68,Navy,19,1986,64
13,4,78,55,Navy,23,1985,64
4,12,60,49,Xavier,11,2009,32
2,15,71,53,Xavier,18,2016,64
4,13,77,59,Xavier,18,2009,64
7,10,80,70,Xavier,10,2004,64
7,2,89,74,Xavier,15,2004,32
7,3,79,71,Xavier,8,2004,16
11,3,91,66,Xavier,25,2017,32
9,8,73,55,Xavier,18,1993,64
11,2,73,71,Xavier,2,2017,16
3,14,71,59,Xavier,12,2003,64
6,3,74,71,Xavier,3,1990,32
11,6,76,65,Xavier,11,2017,64
6,11,87,79,Xavier,8,1990,64
9,8,79,77,Xavier,2,2007,64
14,3,89,84,Xavier,5,1991,64
10,7,67,63,Xavier,4,2012,64
7,10,80,68,Xavier,12,1997,64
10,15,70,58,Xavier,12,2012,32
13,4,70,69,Xavier,1,1987,64
3,7,79,75,Xavier,4,2008,16
6,11,76,57,Xavier,19,2015,64
3,6,85,78,Xavier,7,2008,32
6,11,65,54,Xavier,11,2010,64
6,3,71,68,Xavier,3,2010,32
3,14,73,61,Xavier,12,2008,64
7,10,70,58,Xavier,12,2002,64
6,14,75,67,Xavier,8,2015,32
7,10,83,79,New Orleans,4,1987,64
12,4,65,56,Arkansas,9,1996,32
9,8,86,72,Arkansas,14,2008,64
4,13,94,64,Arkansas,30,1993,64
4,5,80,74,Arkansas,6,1993,32
12,5,86,80,Arkansas,6,1996,64
9,8,63,54,Arkansas,9,1985,64
1,4,93,70,Arkansas,23,1991,16
1,8,97,90,Arkansas,7,1991,32
1,16,117,76,Arkansas,41,1991,64
4,8,96,73,Arkansas,23,1990,16
4,13,68,64,Arkansas,4,1990,64
6,11,74,65,Arkansas,9,1998,64
4,12,86,84,Arkansas,2,1990,32
4,10,88,85,Arkansas,3,1990,8
1,3,76,68,Arkansas,8,1994,8
5,12,120,101,Arkansas,19,1989,64
1,12,103,84,Arkansas,19,1994,16
1,16,94,79,Arkansas,15,1994,64
2,4,68,61,Arkansas,7,1995,8
1,9,85,73,Arkansas,12,1994,32
2,2,75,68,Arkansas,7,1995,4
1,2,91,82,Arkansas,9,1994,4
2,7,96,94,Arkansas,2,1995,32
1,2,76,72,Arkansas,4,1994,2
3,14,80,69,Arkansas,11,1992,64
2,15,79,78,Arkansas,1,1995,64
2,6,96,91,Arkansas,5,1995,16
8,9,77,71,Arkansas,6,2017,64
4,13,94,80,Arkansas,14,1999,64
5,12,56,53,Arkansas,3,2015,64
6,11,66,57,Arizona St.,9,2009,64
8,9,79,76,Arizona St.,3,1991,64
5,12,81,66,Arizona St.,15,1995,64
5,13,64,54,Arizona St.,10,1995,32
10,7,84,71,Arizona St.,13,2003,64
2,15,72,57,Tennessee,15,2008,64
2,7,76,71,Tennessee,5,2008,32
4,13,62,52,Tennessee,10,1999,64
4,13,63,58,Tennessee,5,2000,64
4,5,65,51,Tennessee,14,2000,32
5,4,77,74,Tennessee,3,2007,32
5,12,121,86,Tennessee,35,2007,64
11,14,83,63,Tennessee,20,2014,32
6,11,62,59,Tennessee,3,2010,64
11,6,86,67,Tennessee,19,2014,64
6,14,83,68,Tennessee,15,2010,32
11,11,78,65,Tennessee,13,2014,68
6,2,76,73,Tennessee,3,2010,16
2,15,63,61,Tennessee,2,2006,64
9,8,97,82,Michigan,15,1987,64
11,11,67,62,Michigan,5,2016,68
4,5,78,53,Michigan,25,2013,32
10,7,62,59,Michigan,3,2009,64
8,9,75,45,Michigan,30,2011,64
4,3,79,59,Michigan,20,2013,8
2,15,70,64,Michigan,6,1986,64
4,4,61,56,Michigan,5,2013,4
4,13,71,56,Michigan,15,2013,64
4,1,87,85,Michigan,2,2013,16
3,6,84,79,Michigan,5,1994,32
3,10,78,71,Michigan,7,1994,16
2,15,57,40,Michigan,17,2014,64
2,7,79,65,Michigan,14,2014,32
7,2,73,69,Michigan,4,2017,32
3,14,78,74,Michigan,4,1994,64
7,10,92,91,Michigan,1,2017,64
2,11,73,71,Michigan,2,2014,16
6,2,75,72,Michigan,3,1992,16
3,14,76,70,Michigan,6,1990,64
1,1,81,78,Michigan,3,1993,4
3,14,63,58,Michigan,5,1988,64
3,1,83,81,Michigan,2,1989,4
6,4,76,72,Michigan,4,1992,4
1,12,72,64,Michigan,8,1993,16
3,14,80,61,Michigan,19,1998,64
6,1,75,71,Michigan,4,1992,8
3,5,102,65,Michigan,37,1989,8
3,6,108,85,Michigan,23,1988,32
1,16,84,52,Michigan,32,1993,64
3,14,92,87,Michigan,5,1989,64
1,7,77,72,Michigan,5,1993,8
1,9,86,84,Michigan,2,1993,32
3,3,80,79,Michigan,1,1989,2
3,11,91,82,Michigan,9,1989,32
3,2,92,87,Michigan,5,1989,16
6,11,73,66,Michigan,7,1992,64
1,16,59,55,Michigan,4,1985,64
6,14,102,90,Michigan,12,1992,32
12,4,74,69,DePaul,5,1986,32
12,5,72,68,DePaul,4,1986,64
12,5,66,63,DePaul,3,1989,64
5,12,83,62,DePaul,21,1988,64
7,10,76,69,DePaul,7,2004,64
3,14,76,62,DePaul,14,1987,64
3,6,83,75,DePaul,8,1987,32
2,15,90,69,Duke,21,1989,64
1,9,97,56,Duke,41,1999,32
1,16,99,58,Duke,41,1999,64
2,1,85,77,Duke,8,1989,8
2,15,85,69,Duke,16,1988,64
1,9,94,81,Duke,13,2001,32
1,1,68,62,Duke,6,1999,4
3,6,76,72,Duke,4,1990,32
1,3,95,84,Duke,11,2001,4
1,12,78,61,Duke,17,1999,16
2,11,73,72,Duke,1,1988,16
1,16,82,56,Duke,26,1992,64
3,7,90,81,Duke,9,1990,16
1,16,70,54,Duke,16,2006,64
2,11,87,70,Duke,17,1989,16
3,4,97,83,Duke,14,1990,4
1,7,71,50,Duke,21,1986,8
1,6,79,69,Duke,10,2001,8
2,15,87,65,Duke,22,2017,64
1,4,76,63,Duke,13,2001,16
1,16,82,55,Duke,27,2000,64
1,8,74,61,Duke,13,2006,32
1,16,95,52,Duke,43,2001,64
1,5,72,62,Duke,10,2004,16
1,16,85,78,Duke,7,1986,64
2,7,70,63,Duke,7,1989,32
1,7,66,63,Duke,3,2004,8
3,14,81,46,Duke,35,1990,64
1,8,89,61,Duke,28,1986,32
1,4,81,69,Duke,12,1992,16
1,6,71,51,Duke,20,1992,2
1,1,71,67,Duke,4,1986,4
1,2,82,72,Duke,10,2001,2
2,1,63,53,Duke,10,1988,8
2,7,94,79,Duke,15,1988,32
1,8,69,64,Duke,5,2000,32
3,1,79,78,Duke,1,1990,8
2,15,86,62,Duke,24,2009,64
1,2,104,103,Duke,1,1992,8
1,12,74,67,Duke,7,1986,16
1,2,81,78,Duke,3,1992,4
1,9,75,62,Duke,13,1992,32
1,8,90,62,Duke,28,2004,32
2,7,74,69,Duke,5,2009,32
1,6,85,64,Duke,21,1999,8
1,16,96,61,Duke,35,2004,64
3,14,105,70,Duke,35,1993,64
2,1,69,60,Duke,9,1994,8
2,6,59,49,Duke,10,1994,16
1,2,78,57,Duke,21,2010,4
1,3,78,71,Duke,7,2010,8
1,16,73,44,Duke,29,2010,64
1,16,85,56,Duke,29,2015,64
2,3,70,65,Duke,5,1994,4
2,7,85,74,Duke,11,1994,32
2,15,71,68,Duke,3,1997,64
1,1,68,63,Duke,5,2015,2
1,8,73,71,Duke,2,2011,32
1,16,87,45,Duke,42,2011,64
1,5,63,57,Duke,6,2015,16
2,15,82,70,Duke,12,1994,64
1,5,61,59,Duke,2,2010,2
1,2,66,52,Duke,14,2015,8
1,4,70,57,Duke,13,2010,16
1,7,81,61,Duke,20,2015,4
1,8,68,53,Duke,15,2010,32
1,8,68,49,Duke,19,2015,32
1,8,84,77,Duke,7,2002,32
2,4,78,61,Duke,17,1991,8
1,9,63,55,Duke,8,2005,32
2,1,79,77,Duke,2,1991,4
2,7,85,70,Duke,15,1991,32
5,13,65,60,Duke,5,1987,32
1,16,57,46,Duke,11,2005,64
2,15,102,73,Duke,29,1991,64
3,14,75,62,Duke,13,1985,64
1,16,84,37,Duke,47,2002,64
5,12,58,51,Duke,7,1987,64
2,3,71,61,Duke,10,2013,16
2,7,66,50,Duke,16,2013,32
2,3,72,65,Duke,7,1991,2
2,15,73,61,Duke,12,2013,64
2,11,81,67,Duke,14,1991,16
4,12,71,64,Duke,7,2016,32
2,15,71,70,Duke,1,2008,64
3,11,86,60,Duke,26,2003,32
4,13,93,85,Duke,8,2016,64
1,8,79,73,Duke,6,1998,32
1,16,99,63,Duke,36,1998,64
1,5,80,67,Duke,13,1998,16
3,14,67,57,Duke,10,2003,64
16,16,71,64,Albany (NY),7,2014,68
10,7,64,62,Western Ky.,2,1987,64
12,5,76,72,Western Ky.,4,2009,64
16,16,59,58,Western Ky.,1,2012,68
8,9,67,59,Western Ky.,8,1986,64
8,9,82,76,Western Ky.,6,1995,64
7,2,72,68,Western Ky.,4,1993,32
7,10,55,52,Western Ky.,3,1993,64
12,5,101,99,Western Ky.,2,2008,64
12,13,72,63,Western Ky.,9,2008,32
14,3,70,56,SFA,14,2016,64
12,5,77,75,SFA,2,2014,64
6,3,71,69,Texas Tech,2,2005,32
3,14,74,73,Texas Tech,1,1996,64
3,6,92,73,Texas Tech,19,1996,32
6,11,78,66,Texas Tech,12,2005,64
8,9,76,73,Texas Tech,3,2004,64
16,16,70,61,UTSA,9,2011,68
15,2,90,81,Middle Tenn.,9,2016,64
12,5,81,72,Middle Tenn.,9,2017,64
13,4,97,83,Middle Tenn.,14,1989,64
10,7,58,54,Purdue,4,1999,64
10,2,73,63,Purdue,10,1999,32
3,14,104,95,Purdue,9,1987,64
1,9,83,73,Purdue,10,1994,32
4,13,72,64,Purdue,8,2010,64
1,4,83,78,Purdue,5,1994,16
8,9,83,76,Purdue,7,1997,64
2,15,75,63,Purdue,12,1990,64
9,8,80,56,Purdue,24,2003,64
1,9,100,73,Purdue,27,1988,32
1,16,94,79,Purdue,15,1988,64
1,16,98,67,Purdue,31,1994,64
10,7,72,69,Purdue,3,2012,64
4,5,63,61,Purdue,2,2010,32
3,14,49,48,Purdue,1,1995,64
2,15,95,56,Purdue,39,1998,64
2,10,80,65,Purdue,15,1998,32
9,8,72,63,Purdue,9,2007,64
4,5,80,76,Purdue,4,2017,32
4,13,80,70,Purdue,10,2017,64
6,3,66,62,Purdue,4,2000,32
3,14,65,43,Purdue,22,2011,64
1,16,73,71,Purdue,2,1996,64
5,4,76,74,Purdue,2,2009,32
